fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category_enc,investment_type_Growth,investment_type_Unknown,investment_type_Value,size_type_Medium,size_type_Small,size_type_Unknown,morningstar_risk_rating
64.0,0.78,9.33,56.0,0.77,7.78,7.29,88.42,15.0,-0.1211,113,False,False,False,False,False,False,1
68.0,0.77,9.32,58.0,0.77,7.78,7.28,88.11,16.0,-0.12139,113,False,False,False,False,False,False,1
55.0,1.43,29.4,80.0,1.39,24.05,20.57,81.41,84.0,-0.38502,88,False,False,True,False,True,False,4
49.0,1.31,27.06,41.0,1.28,22.05,19.27,80.99,37.0,-0.36543,88,False,False,True,False,True,False,3
51.0,1.31,27.07,43.0,1.28,22.05,19.27,80.95,39.0,-0.366,88,False,False,True,False,True,False,3
53.0,1.31,27.04,45.0,1.28,22.02,19.24,80.93,40.0,-0.36642,88,False,False,True,False,True,False,3
54.0,1.43,29.38,78.0,1.39,24.04,20.58,81.36,84.0,-0.38413,88,False,False,True,False,True,False,4
48.0,1.32,27.08,40.0,1.28,22.06,19.28,81.01,37.0,-0.36516,88,False,False,True,False,True,False,3
50.0,0.76,3.15,47.0,0.81,2.97,2.78,70.63,34.0,0.05623,41,False,False,False,False,False,False,3
71.0,0.76,3.14,60.0,0.8,2.96,2.78,70.42,40.0,0.05431,41,False,False,False,False,False,False,3
24.0,1.83,8.22,61.0,1.63,7.13,6.43,78.88,53.0,-0.06852,34,False,False,False,False,True,False,4
14.0,1.85,8.28,41.0,1.64,7.17,6.44,79.0,34.0,-0.06593,34,False,False,False,False,True,False,4
42.0,0.75,3.12,37.0,0.8,2.95,2.77,70.23,27.0,0.05739,41,False,False,False,False,False,False,3
55.0,0.76,3.14,49.0,0.8,2.97,2.79,70.3,37.0,0.0556,41,False,False,False,False,False,False,3
7.0,1.84,8.25,35.0,1.63,7.14,6.44,79.12,36.0,-0.06619,34,False,False,False,False,True,False,4
8.0,1.84,8.26,35.0,1.64,7.14,6.44,79.3,36.0,-0.06607,34,False,False,False,False,True,False,4
15.0,1.02,11.68,21.0,1.02,9.4,8.4,98.54,21.0,-0.13587,1,False,False,False,False,False,False,4
29.0,1.1,21.71,17.0,1.09,17.67,15.74,87.57,54.0,-0.28107,45,False,False,True,False,False,False,4
34.0,1.1,21.68,20.0,1.09,17.64,15.75,87.58,63.0,-0.28248,45,False,False,True,False,False,False,4
31.0,1.1,21.7,19.0,1.09,17.66,15.75,87.56,62.0,-0.2816,45,False,False,True,False,False,False,4
48.0,1.05,12.53,44.0,1.04,10.0,9.59,91.09,6.0,-0.17981,2,False,False,False,False,False,False,4
56.0,1.05,12.55,52.0,1.04,10.01,9.6,91.18,7.0,-0.18164,2,False,False,False,False,False,False,3
45.0,1.05,12.54,40.0,1.04,10.0,9.58,91.16,6.0,-0.17946,2,False,False,False,False,False,False,4
49.0,1.06,12.56,45.0,1.04,10.02,9.6,91.12,6.0,-0.18049,2,False,False,False,False,False,False,4
